,length,avg_sentence_length,type_token_ratio,flesch_score,vocab_richness,num_special_chars,entropy,sentiment,named_entities,repetition,avg_token_probability,perplexity_scaled
0,549,15.166666666666666,0.7404580152671756,37.52578754578758,0.1766848816029144,10,1.6180518,0.003758333333333333,11,0,3.1249983e-05,1120548.229930315
1,502,15.166666666666666,0.6953125,61.95693681318683,0.17729083665338646,14,2.1380076,0.012546258503401362,6,1,3.1250005e-05,492643.14387155545
2,506,22.5,0.7557251908396947,33.24500000000002,0.1956521739130435,8,1.7359356,0.026924931129476585,12,1,3.125001e-05,300760.1417923001
3,464,19.0,0.7549019607843137,23.554473684210564,0.16594827586206898,7,1.8956403,0.005756555453525151,6,0,3.1249998e-05,665335.8732562107
4,472,18.5,0.8053097345132744,12.655675675675695,0.19279661016949154,5,2.1428854,0.01783888888888889,8,0,3.125001e-05,716780.7367852711
5,460,12.5,0.7952755905511811,41.16375000000002,0.21956521739130436,11,1.6820606,0.06817777777777777,12,0,3.125e-05,583266.4809487461
6,462,23.0,0.8571428571428571,0.0,0.19480519480519481,3,1.7705789,0.0,12,0,3.125e-05,1972209.0345446335
7,474,15.8,0.7706422018348624,44.10413502109708,0.17721518987341772,9,1.9951508,0.0029296875,8,0,3.1249983e-05,727384.4682430902
8,454,18.5,0.6851851851851852,30.028500000000037,0.16299559471365638,8,2.1209207,0.019459876543209874,6,0,3.1249998e-05,255078.27057365276
9,520,16.0,0.7716535433070866,26.430833333333368,0.18846153846153846,8,1.9542481,0.011123046875,14,0,3.125e-05,659283.9720460209
10,505,16.6,0.7377049180327869,32.37928571428574,0.1782178217821782,9,1.92546,0.022783003826530607,9,0,3.1250012e-05,353519.14635515504
11,508,10.75,0.6821192052980133,56.21058823529415,0.20275590551181102,20,1.9798628,0.16745002494799574,16,0,3.124999e-05,794597.0099483376
12,454,13.0,0.8360655737704918,51.375769230769265,0.22466960352422907,12,2.5267124,0.026511509117535907,7,0,3.125001e-05,389631.6646163267
13,460,24.666666666666668,0.7596153846153846,-21.469594594594554,0.17173913043478262,5,2.1384501,0.023341049382716056,7,0,3.1250005e-05,1070593.1526408428
14,548,18.2,0.6917293233082706,24.860000000000042,0.1678832116788321,13,1.7665421,0.008888888888888892,11,0,3.1250005e-05,800403.9455536447
15,519,17.4,0.676923076923077,40.2896551724138,0.16955684007707128,8,2.0331154,0.0008333333333333335,9,0,3.1249998e-05,784241.5521272724
16,505,14.166666666666666,0.7384615384615385,23.032981927710864,0.1900990099009901,14,1.7087588,0.0019345850480109738,12,0,3.1249994e-05,1421337.9278107125
17,537,20.0,0.7535211267605634,51.17766666666668,0.19925512104283055,12,2.1389995,0.1051530612244898,11,0,3.1250005e-05,296045.54112066835
18,476,27.666666666666668,0.8017241379310345,0.0,0.1953781512605042,7,1.7616879,0.0,12,0,3.125e-05,725686.0178954076
19,549,23.25,0.7073170731707317,14.998790322580675,0.15846994535519127,4,2.0038257,0.007916666666666667,8,2,3.1250012e-05,377657.76339363435
20,561,22.0,0.7,11.2409090909091,0.1622103386809269,8,1.7581302,0.008580246913580244,9,2,3.1249994e-05,807156.4390591242
21,536,26.666666666666668,0.7874015748031497,0.0,0.1865671641791045,10,1.6217378,0.0,7,0,3.1249994e-05,1291067.965665375
